name,ra,dec,pmra,pmdec,mag,alias
39 Aur,91.264102,42.981636,-44.854,-146.396,5.9,
S Lep,91.43979,-24.19556,4.426,-15.107,6.82,
tet Lep,91.538849,-14.935255,-17.005,13.152,4.663,
eta01 Dor,91.53909,-66.039621,13.575,28.139,5.69,
40 Aur,91.64624,38.482647,9.452,-54.087,5.345,
pi.01 Col,91.671016,-42.2988,-34.772,0.221,6.154,
2 Gem,91.702747,23.638601,-0.999,-2.128,6.65,
tet Col,91.881803,-37.252919,0.391,0.121,4.994,Elkurud
nu. Ori,91.893024,14.768474,6.78,-20.23,4.397,
19 Lep,91.923492,-19.165866,12.492,56.996,5.279,
pi.02 Col,91.970248,-42.154041,-10.221,-16.956,5.492,
nu. Dor,92.184424,-68.843412,-51.204,19.086,5.038,
3 Gem,92.433272,23.113464,-0.064,-2.685,5.75,
37 Cam,92.49589,58.935693,16.787,18.619,5.355,
alf Men,92.560302,-74.753044,121.596,-212.411,5.069,
del Pic,92.574618,-54.968643,-3.754,8.093,4.72,
4 Gem,92.624725,22.997878,-5.036,-2.052,6.88,
eta02 Dor,92.812423,-65.589418,-23.255,119.249,5.01,
5 Gem,92.884606,24.420253,0.373,-51.616,5.825,
41 Aur B,92.902303,48.713066,19.171,-52.46,6.84,
ksi Ori,92.984987,14.208765,0.29,-20.12,4.48,
68 Ori,93.005589,19.790541,1.583,-11.582,5.749,
f01 Ori,93.013665,16.130406,5.49,-16.8,4.92,
6 Gem,93.079578,22.908515,0.144,-2.085,6.39,
36 Cam,93.21276,65.718421,6.24,-31.308,5.344,
71 Ori,93.711985,19.156448,-97.608,-182.448,5.2,
gam Mon,93.71389,-6.274774,-4.69,-19.3,3.96,
eta Gem,93.719355,22.506787,-59.53,-7.766,3.28,Propus
kap Aur,93.844535,29.498076,-72.404,-261.101,4.35,
f02 Ori,93.854701,16.143165,-0.886,-9.24,5.327,
40 Cam,93.918903,59.998964,26.588,-21.648,5.351,
73 Ori,93.937352,12.55107,-1.512,-1.43,5.467,
8 Gem,94.079361,23.97003,-12.052,-7.421,6.075,
k Ori,94.110913,12.272163,82.775,186.48,5.04,
kap Col,94.138064,-35.140515,0.614,87.903,4.37,
9 Gem,94.244607,23.740912,0.604,-1.36,6.25,
l Ori,94.277582,9.942393,7.773,-60.906,5.386,
42 Aur,94.39436,46.423952,-43.563,11.15,6.525,
6 Mon,94.396354,-10.724991,-6.492,1.403,6.747,
1 Lyn,94.478412,61.515285,-10.59,-3.11,5.05,
43 Aur,94.570271,46.360443,12.069,-130.529,6.323,
10 Gem,94.726778,23.603283,-0.271,-6.868,6.55,
11 Gem,94.8304,23.469406,0.475,-1.212,6.92,
12 Gem,94.843848,23.274506,0.516,-2.267,6.97,
2 Lyn,94.905719,59.010981,-4.644,24.666,4.434,
7 Mon,94.928333,-7.822906,-5.405,-1.416,5.252,
zet CMa,95.0783,-30.063367,7.32,4.03,2.99,Furud
45 Aur,95.44221,53.452177,22.597,-88.884,5.333,
4 Lyn,95.514797,59.372098,-5.85,0.03,6.07,
del Col,95.528437,-33.436399,-22.946,-52.045,3.85,
3 Lyn,95.533717,61.759974,1.808,-116.353,7.21,
pi.01 Dor,95.659482,-69.984044,26.17,34.33,5.542,
nu. Pic,95.732626,-56.369967,-42.268,-18.616,5.598,
mu. Gem,95.740112,22.513582,56.39,-110.03,2.87,Tejat
eps Mon A,95.942022,4.592882,-15.127,7.701,4.398,
psi01 Aur,96.22459,49.287892,-0.155,-2.131,4.75,
T Mon,96.304165,7.085711,0.846,-3.025,5.98,
BL Ori,96.367392,14.721992,-2.498,-4.45,6,
pi.02 Dor,96.369294,-69.6903,-12.184,200.786,5.38,
G Pup,96.431887,-48.176899,-2.73,-20.54,5.76,
RR Lyn,96.607652,56.285096,-26.232,21.881,5.54,
5 Lyn,96.703635,58.417408,-6.518,-1.714,5.197,
9 Mon,96.753659,-4.355646,-6.93,-3.098,6.472,
77 Ori,96.807337,0.299244,2.306,-8.969,5.186,
78 Ori,96.814963,-0.276001,1.625,-5.216,5.538,
15 Gem,96.944007,20.789535,-31.857,-45.171,6.52,
16 Gem,96.98613,20.496321,-28.998,12.778,6.22,
10 Mon,96.989869,-4.762153,-5.78,-2.86,5.041,
lam CMa,97.042531,-32.580068,-14.41,25.21,4.48,
48 Aur,97.142034,30.493036,-0.492,-13.441,5.55,
bet Mon A,97.20446,-7.033059,-6.518,-2.956,4.6,
nu. Gem,97.240775,20.212135,-6.82,-13.1,4.14,
61 Pic,97.368742,-56.852767,-39.146,32.26,5.197,
47 Aur,97.51239,46.685554,-7.446,8.318,5.866,
6 Lyn,97.696281,58.162633,-30.691,-338.612,5.855,
19 Gem,97.90598,15.903504,-8.451,-13.98,6.38,
ksi01 CMa,97.964026,-23.418422,-2.91,6.22,4.33,
mu. Pic,97.992959,-58.753836,-1.302,1.637,5.64,
20 Gem,98.077273,17.784351,36.907,26.549,6.242,
12 Mon,98.080016,4.855998,-37.686,1.336,5.83,
WW Aur,98.11327,32.454898,-26.507,-17.343,5.829,
13 Mon,98.22595,7.332969,-1.698,-4.845,4.5,
7 Lyn,98.636667,55.353043,3.759,5.542,6.46,
14 Mon,98.692992,7.572482,-15.011,-1.714,6.46,
N Car,98.744083,-52.975609,-7.65,10.54,4.4,
ksi02 CMa,98.764115,-22.964795,16.316,16.885,4.5,
49 Aur,98.800259,28.022311,0.292,-13.521,5.26,
23 Gem,99.008861,16.797029,17.452,-28.559,6.72,
nu.01 CMa,99.095217,-18.659904,-13.463,18.621,5.695,
UU Aur,99.136821,38.445505,0.5,-19.758,5.25,
nu.02 CMa,99.17099,-19.25588,62.66,-69.816,3.91,
11 Lyn,99.409946,56.85753,-10.972,9.911,5.89,
8 Lyn,99.42244,61.481236,-208.592,-273.42,5.94,
nu. Pup,99.440297,-43.195933,-0.44,-3.87,3.17,
nu.03 CMa,99.472589,-18.237481,-7.166,-8.777,4.43,
53 Aur,99.595877,28.984338,-16.783,-13.864,5.744,
V Pup,99.656815,-48.220184,4.003,19.658,5.03,
51 Aur,99.664736,39.390851,-22.853,-108.763,5.69,
psi03 Aur,99.704918,39.902559,-7.718,-11.191,5.331,
psi02 Aur,99.832613,42.488876,-0.576,-55.657,4.82,
54 Aur,99.887998,28.263132,-6.24,-10.81,6.02,
zet Men,100.012045,-80.813594,-4.625,53.13,5.606,
15 Mon,100.244415,9.895756,-2.61,-1.61,4.68,
25 Gem,100.337073,28.19664,0.115,-1.717,6.427,
26 Gem,100.601363,17.645302,7.048,-85.812,5.21,
psi04 Aur,100.770717,44.524449,-44.112,-30.066,5.02,
eps Gem,100.983026,25.131125,-5.57,-12.36,2.98,Mebsuta
30 Gem,100.99703,13.228,-0.452,-52.279,4.49,
10 CMa,101.118613,-31.070526,-3.286,4.201,5.17,
28 Gem,101.189415,28.970939,-8.358,-27.667,5.44,
ksi Gem,101.322351,12.895592,-115.73,-190.55,3.36,Alzirr
32 Gem,101.47583,12.693563,-0.854,-1.366,6.47,
12 Lyn,101.558875,59.441673,-19.63,-7.23,4.86,
16 Mon,101.63506,8.587157,-6.953,-5.179,5.92,
psi05 Aur,101.684737,43.577424,-2.705,164.523,5.24,
13 Lyn,101.706292,57.169176,14.505,-38.472,5.335,
11 CMa,101.712885,-14.425975,-2.462,8.996,5.272,
12 CMa,101.756181,-21.015403,-14.568,5.778,6.08,
V448 Car,101.827951,-55.53999,-0.6,25.444,5.61,
17 Mon,101.832625,8.037256,-24.428,-11.916,4.77,
x Pup,101.839163,-37.929697,-9.822,-9.99,5.26,
psi06 Aur,101.914899,48.789484,3.988,4.748,5.216,
18 Mon,101.965199,2.412176,-17.309,-15.921,4.47,
alf Pic,102.04773,-61.941389,-66.07,242.97,3.23,
33 Gem,102.457651,16.202884,-15.993,-10.899,5.87,
kap CMa,102.460247,-32.508478,-8.84,3.73,3.89,
V415 Car,102.463809,-53.622449,-1.99,17.58,4.408,
X Pup,102.477568,-46.614561,-0.932,373.786,5.14,
tau Pup,102.484038,-50.614539,32.618,-69.566,2.93,Altaleban/Taleban
35 Gem,102.606244,13.413179,-2.2,-6.421,5.672,
psi07 Aur,102.69143,41.78123,-25.542,-137.253,4.975,
42 Cam,102.737871,67.571934,0.704,4.757,5.122,
iot Vol,102.862438,-70.96341,2.988,25.636,5.395,
d Gem,102.887693,21.761145,-5.719,-35.781,5.259,
tet Gem,103.197245,33.961257,-1.705,-47.193,3.6,
59 Aur,103.255879,38.869148,-3.916,6.659,6.099,
14 Lyn,103.271035,59.448542,-11.94,-46.32,5.38,
60 Aur,103.305851,38.438021,36.693,-187.952,6.32,
15 CMa,103.387113,-20.224255,-5.46,3.58,4.83,
43 Cam,103.426034,68.888311,4.87,7.705,5.096,
psi08 Aur,103.487804,38.505019,-1.307,-27.406,6.443,
omi01 CMa,103.533134,-24.184211,-3.771,4.066,3.87,
tet CMa,103.547495,-12.038628,-136.654,-14.322,4.08,
e Gem,103.660992,13.177845,68.745,-86.832,4.715,
17 CMa,103.761408,-20.404877,-0.242,-10.241,5.792,
37 Gem,103.827776,25.375695,-37.595,24.234,5.748,
pi. CMa,103.90596,-20.136497,51.109,39.971,4.664,
mu. CMa A,104.027691,-14.043431,-1.106,6.383,5.09,
iot CMa,104.034269,-17.054239,-3.547,3.19,4.385,
psi09 Aur,104.133575,46.273999,-3.263,5.04,5.87,
tet Men,104.143643,-79.420192,-2.27,-1.24,5.449,
15 Lyn,104.319188,58.422761,6.08,-122.83,4.35,
psi10 Aur,104.404613,45.094094,-21.415,-3.391,4.893,
t Pup,104.604537,-34.11169,-10.659,0.71,5.068,
39 Gem,104.697543,26.081079,-162.321,94.102,6.2,
62 Aur,104.761864,38.052318,-41.583,-122.245,6.021,
40 Gem,104.866386,25.914163,-8.322,-10.879,6.397,
41 Gem,105.06593,16.078996,-2.203,-3.776,5.69,
23 Car,105.214522,-51.402586,-21.396,20.144,5.151,
sig CMa,105.429782,-27.93483,-5.98,4.59,3.47,Unurgunite
ome Gem,105.60325,24.215446,-7.054,-0.392,5.181,
19 Mon,105.728236,-4.239232,-5.05,2.24,5,
omi02 CMa,105.756134,-23.833292,-2.21,3.61,3.02,
gam CMa,105.939554,-15.633286,-0.14,-11.36,4.12,Muliphein
H Pup,105.973342,-49.583939,-56.878,149.108,4.925,
C Pup,106.011636,-42.337287,-17.607,73.67,5.19,
zet Gem,106.027213,20.570298,-7.738,-0.943,3.79,Mekbuda
44 Gem,106.326537,22.637458,-2.605,-9.727,6.01,
D Pup,106.77949,-40.893269,-10.554,11.163,5.783,
45 Gem,107.091831,15.930676,-4.706,-102.95,5.476,
del CMa,107.09785,-26.393199,-3.12,3.31,1.84,Wezen
gam01 Vol,107.176542,-70.497091,11.069,107.302,5.623,
gam02 Vol,107.18694,-70.49893,23.62,108.653,3.746,
A Pup,107.212784,-39.655655,-10.69,7.71,4.83,
17 Lyn,107.407388,60.792089,-8.851,-47.353,6.64,
20 Mon,107.557006,-4.237107,-0.46,217.452,4.92,
tau Gem,107.784876,30.245164,-30.725,-48.515,4.42,
47 Gem,107.846114,26.856589,-19.21,-33.061,5.75,
21 Mon,107.848399,-0.301929,-26.764,-9.813,5.428,
63 Aur,107.91386,39.32055,45.314,2.986,4.886,
del Mon,107.966086,-0.492769,0.79,4.52,4.15,
26 CMa,108.050895,-25.942588,-5.568,9.286,5.897,
E Pup,108.065862,-40.498821,-18.376,-8.22,5.31,
48 Gem,108.109901,24.128594,-17.952,-45.679,5.85,
I Pup,108.140105,-46.759304,-135.806,107.433,4.49,
49 Gem,108.205727,25.748698,-6.448,-3.54,7.053,
L01 Pup,108.305627,-45.182737,-25.166,-87.38,4.874,
51 Gem,108.342816,16.158964,12.727,-41.447,5,
L02 Pup,108.38466,-44.639709,106.757,323.164,5.1,
27 CMa,108.563383,-26.352509,-6.91,3.17,4.65,
52 Gem,108.674909,24.884984,52.508,-89.655,5.82,
ome CMa,108.702724,-26.772669,-11.88,6.87,3.82,
24 Mon,108.830863,-0.161284,-8.471,3.376,6.42,
18 Lyn,108.978765,59.637466,-100.375,-258.353,5.2,
53 Gem,108.988196,27.897421,-12.384,-1.967,5.71,
145 CMa,109.153477,-23.315594,-3.816,3.896,4.79,
del Vol,109.207599,-67.957152,-4.43,8.38,3.99,
pi. Pup,109.285653,-37.097471,-10.05,6.47,2.7,Ahadi
64 Aur,109.509227,40.883394,-13.026,12.568,5.87,
M Pup,109.517705,-43.986786,-9.483,-5.396,5.839,
lam Gem,109.523245,16.540386,-46.157,-36.007,3.559,
ups01 Pup,109.576639,-36.733953,-10.25,5.82,4.67,
F Pup,109.639635,-39.210284,-9.529,9.565,5.243,
ups02 Pup,109.659105,-36.742737,-10.172,6.621,5.11,
29 CMa,109.668245,-24.558699,-2.865,3.678,4.95,
tau CMa,109.677027,-24.954372,-2.31,5.02,4.4,
R CMa,109.86741,-16.395249,165.693,-138.852,5.7,
del Gem,110.030727,21.982304,-27.722,-14.702,3.53,Wasat
56 Gem,110.486924,20.443658,-60.474,-23.693,5.08,
65 Aur,110.510907,36.760583,-97.064,-22.733,5.12,
20 Lyn B,110.556714,50.147704,-24.026,-41.119,7.64,
47 Cam,110.571603,59.901996,-2.211,16.127,6.35,
19 Lyn B,110.711872,55.284319,-2.518,-30.829,6.72,
19 Lyn A,110.71691,55.281394,-2.938,-31.141,5.78,
58 Gem,110.867237,22.945348,-26.469,-36.704,6.17,
57 Gem,110.868797,25.050531,-66.676,-29.082,5.022,
66 Aur,111.035281,40.672389,-4.081,-21.023,5.188,
59 Gem,111.139388,27.637856,13.722,15.078,5.759,
1 CMi,111.242417,11.669523,-15.574,-15.478,5.361,
eps Men,111.408745,-79.094191,-29.197,5.181,5.522,
eps CMi,111.412082,9.27609,-4.583,-8.414,4.986,
iot Gem,111.431648,27.798079,-122.06,-85.133,3.79,
21 Lyn,111.678551,49.211527,-10.185,-48.768,4.61,
61 Gem,111.734702,20.257555,2.113,-8.169,5.935,
bet CMi,111.787674,8.289316,-51.76,-38.29,2.89,Gomeisa
63 Gem,111.934822,21.445279,-56.45,-121.068,5.24,
eta CMi,112.008645,6.941971,-3.109,-43.633,5.22,
gam CMi,112.040809,8.925524,-62.112,11.141,4.3,
y Pup,112.27373,-38.812067,-19.836,15.281,5.395,
rho Gem,112.277995,31.784549,159.09,193.29,4.18,
sig Pup,112.307636,-43.301435,-61.628,189.627,3.25,Hadir
64 Gem,112.33517,28.118276,-33.931,-52.782,5.064,
6 CMi,112.44909,12.006565,-0.57,-18.85,4.531,
b Gem,112.453175,27.91612,-29.312,-21.779,5.01,
22 Lyn,112.483155,49.672459,111.047,-82.884,5.357,
U Mon,112.697796,-9.776877,-7.938,1.26,5.82,
VZ Cam,112.768615,82.411467,-3.633,-41.623,4.96,
del01 CMi,113.024787,1.914479,-2.129,-0.868,5.233,
del02 CMi,113.298607,3.290379,-15.909,42.696,5.571,
68 Gem,113.402006,15.826661,-28.64,-12.86,5.263,
z Pup,113.462673,-36.338392,-7.398,6.062,5.44,
del03 CMi,113.566219,3.371724,-2.534,-5.305,5.817,
n Pup A,113.577573,-23.473664,-88.134,-0.86,5.77,
p Pup,113.845382,-28.369335,-60.256,-7.742,4.63,
Q Car,113.91551,-52.533836,22.335,-11.593,4.92,
ups Gem,113.980625,26.895744,-32.841,-106.002,4.06,
y02 Pup,114.183,-48.830166,-6.689,1.023,5.68,
25 Mon,114.319546,-4.110981,-67.624,16.998,5.131,
f Pup,114.342124,-34.968531,-14.21,16.32,4.53,
m Pup,114.575191,-25.364806,-2.344,-6.468,4.67,
y03 Pup,114.575868,-48.601434,-3.857,5.651,5.658,
70 Gem,114.636933,35.04855,38.492,27.757,5.572,
e Pup,114.682911,-36.496833,-7.547,5.591,5.8,
k01 Pup,114.70573,-26.801757,-18.556,11.081,4.5,
omi Gem,114.791394,34.584306,-37.975,-105.132,4.9,Jishui
d01 Pup,114.863911,-38.308023,-20.7,16.079,4.84,
f Gem,114.869139,17.674522,5.374,-1.199,5.05,
d02 Pup,114.932565,-38.139298,-21.877,17.036,5.77,
d03 Pup,114.949479,-38.260652,-10.2,9.511,5.747,
d04 Pup,114.991629,-37.579424,-0.83,-4.51,5.996,
140 Pup,115.09671,-15.263919,-2.171,-27.678,4.951,
23 Lyn,115.206453,57.082828,-23.29,-1.987,6.076,
alf Mon,115.3118,-9.551133,-74.989,-19.838,3.93,
zet Vol,115.455246,-72.606099,33.006,14.816,3.944,
24 Lyn,115.751732,58.710359,-37.323,-52.367,4.947,
sig Gem,115.828032,28.883509,61.692,-229.213,4.29,
1 Pup,115.884944,-28.410886,-13.782,29.646,4.59,
W Pup,115.924704,-40.933746,130.96,-170.919,5.17,
l Pup,115.951953,-28.954826,-5.09,3.9,3.93,
c Gem,116.028812,25.78416,-13.326,-20.079,5.289,
kap Gem,116.11189,24.397996,-23.39,-54.57,3.57,
79 Gem,116.28889,20.316047,-6.168,-0.149,6.54,
c Pup,116.313735,-37.968583,-10.18,6.34,3.61,
2 Pup B,116.369737,-14.686163,-9.777,-19.699,6.932,
2 Pup A,116.371397,-14.690535,-10.562,-20.237,5.997,
171 Pup,116.395505,-34.172551,-222.267,1707.696,5.362,
4 Pup,116.486956,-14.563805,-10.782,5.991,5.026,
g Gem,116.531035,18.509998,-77.972,-51.68,4.87,
11 CMi,116.567505,10.768252,-30.318,-25.278,5.237,
49 Cam,116.614227,62.830523,-36.847,-60.731,6.458,
51 Cam,116.666992,65.455674,27.601,17.656,5.925,
pi. Gem,116.876349,33.415697,-17.48,-28.334,5.14,
5 Pup,116.986328,-12.192708,-106.436,78.228,5.48,
omi Pup,117.021535,-25.93717,-10.09,4.26,4.49,
Q Pup,117.083999,-47.077724,-102.498,-78.635,4.71,
82 Gem,117.140162,23.140979,-9.68,-1.49,6.21,
188 Pup,117.256974,-24.912247,-28.489,23.378,5.313,
P Pup,117.309573,-46.373199,-6.969,6.636,4.11,
ksi Pup,117.323565,-24.859786,-4.81,-0.89,3.3,Azmidi/Asmidiske/Azmidiske
6 Pup,117.421672,-17.228408,54.538,-117.165,5.162,
8 Pup,117.920345,-12.819403,7.349,-9.493,6.361,
zet CMi,117.924953,1.766868,-13.704,-4.043,5.16,
9 Pup,117.942929,-13.898032,-67.75,-346.66,5.16,
a Pup,118.054299,-40.575782,-11.774,7.368,3.696,
212 Pup,118.065258,-34.705441,-198.85,238.86,5.01,
10 Pup,118.078662,-14.846178,-7.12,0.329,5.689,
b Pup,118.161027,-38.862814,-8.92,3.34,4.474,
J Pup,118.325658,-48.102934,-5.6,5.76,4.24,
phi Gem,118.3742,26.765781,-27.843,-30.555,4.963,
25 Lyn,118.621931,47.385977,-16.383,2.618,6.253,
26 Lyn,118.677909,47.564593,-46.948,1.373,5.446,
85 Gem,118.916227,19.883967,-15.114,-39.83,5.365,
chi Car,119.194667,-52.982345,-31.368,23.452,3.431,
j Pup,119.214745,-22.88012,-30.42,11.49,4.184,
1 Cnc,119.247719,15.790278,-26.731,-42.591,5.78,
N Pup,119.326754,-44.10986,-11.694,6.603,5.064,
chi Pup,119.417109,-30.334571,-8.22,6.546,4.79,
O Pup,119.465496,-45.577669,-16.683,30.084,5.123,
V Pup,119.56016,-49.244915,-5.276,9.873,4.41,
14 CMi,119.58609,2.224768,-161.282,98.299,5.3,
12 Pup,119.773812,-23.310396,-11.655,2.537,5.11,
27 Mon,119.933971,-3.679586,-53.772,-2.687,4.934,
D01 Car,120.083195,-63.567456,-1.89,19.21,4.806,
3 Cnc,120.197115,17.3087,-10.504,-3.489,5.588,
ome Cnc,120.232804,25.392837,16.663,7.197,5.853,
28 Mon,120.305565,-1.392609,67.6,-76.26,4.68,
5 Cnc,120.376201,16.455311,3.99,-5.338,5.99,
53 Cam,120.426835,60.324391,-25.627,-26.731,6.008,
ome02 Cnc,120.43232,25.089466,-25.138,12.276,6.297,
G CMi,120.566404,2.334572,-28.194,105.65,4.38,
54 Cam,120.649097,57.273626,-36.659,-59.364,6.49,
chi Gem,120.879582,27.794351,-32.315,-46.221,4.937,
14 Pup,121.172574,-19.728151,-5.495,2.274,6.105,
8 Cnc,121.268704,13.118216,-34.708,-62.992,5.136,
mu.01 Cnc,121.576648,22.635487,-5.831,-9.488,5.99,
28 Lyn,121.791455,43.260359,-12.638,-33.27,6.35,
rho Pup,121.886037,-24.304324,-83.35,46.23,2.81,Tureis
mu.02 Cnc,121.941067,21.581813,23.227,-67.764,5.3,
eps Vol,121.982477,-68.617064,-29.781,29.887,4.398,
27 Lyn,122.114379,51.506665,-58.882,-4.246,4.797,
zet Mon,122.148527,-2.983788,-18.81,-4.5,4.33,
12 Cnc,122.176857,13.640919,2.776,-14.723,6.242,
B Car,122.252654,-61.302374,-145.711,-301.18,4.742,
16 Pup,122.256822,-19.245014,-9.87,-5.55,4.393,
13 Cnc,122.55461,25.844479,-14.654,-30.976,6.413,
psi Cnc,122.613253,25.507334,-72.954,-347.888,5.73,
18 Pup,122.66594,-13.799206,-250.947,58.202,5.54,
19 Pup,122.817939,-12.926999,-28.177,8.828,4.72,
h01 Pup,122.839556,-39.618544,-9.072,3.211,4.42,
AH Vel,122.999861,-46.644349,-4.209,6.911,5.76,
zet02 Cnc,123.054998,17.648491,36.985,-150.889,5.79,
zet01 Cnc A,123.053002,17.647641,118.325,-148.433,5.31,
55 Cam,123.203284,68.474073,-0.432,7.87,5.329,
15 Cnc,123.28695,29.656538,-11.265,-19.506,5.605,
20 Pup,123.333196,-15.788224,-12.796,-3.749,4.99,
r Pup,123.372988,-35.899518,-7.3,9.75,4.77,
16 Vel,123.392695,-50.196075,18.742,-0.142,5.514,
h02 Pup,123.512205,-40.347867,38.196,-70.153,4.44,
C Car,123.816344,-62.915641,-23.542,-12.414,5.259,
56 Cam,123.960422,60.3806,-16.35,6.95,6.48,
bet Cnc,124.128837,9.185544,-45.679,-49.505,3.52,Tarf/Altarf
21 Pup,124.346381,-16.285113,-12.601,-8.197,6.308,
29 Lyn,124.460058,59.571134,-4.324,2.532,5.63,
alf Cha,124.631468,-76.919724,110.515,107.125,4.047,
q Pup,124.638804,-36.659289,-110.481,100.443,4.4,
57 Cam,124.8215,62.507156,-22.275,8.581,5.723,
kap01 Vol,124.954017,-71.514909,-17.188,36.518,5.318,
kap02 Vol,125.002198,-71.505378,-17.544,34.555,5.608,
chi Cnc,125.016086,27.217705,-17.475,-377.072,5.13,
30 Lyn,125.108582,57.743279,57.655,14.559,5.877,
lam Cnc,125.133901,24.022311,-20.843,-18.97,5.93,Piautos
tet Cha,125.160579,-77.484479,-129.048,40.598,4.337,
w Pup,125.345942,-33.054365,-11.721,3.316,4.8,
eta Vol,125.518548,-73.399979,-29.432,29.926,5.279,
B Vel,125.632059,-48.490379,-5.1,7.76,4.82,
22 Pup,125.695197,-13.054793,-38.633,-46.867,6.109,
31 Lyn,125.708791,43.188131,-25.16,-99.23,4.25,Alsciaukat
d01 Cnc,125.841012,18.332162,-51.953,-19.416,5.94,
21 Cnc,125.980034,10.63206,-0.843,-22.943,6.08,
1 Hya,126.145892,-3.751242,-212.044,-25.969,5.61,
30 Mon,126.415132,-3.906427,-66.738,-23.452,3.9,
bet Vol,126.434146,-66.136888,-35.049,-151.988,3.759,
d02 Cnc,126.457822,17.04627,-191.567,-151.554,6.11,
2 Hya,126.613358,-3.98743,-54.424,-68.456,5.59,
phi01 Cnc,126.615442,27.893581,-33.427,-115.457,5.57,
24 Cnc A,126.665796,24.534173,-43.008,-78.521,6.89,
27 Cnc,126.68308,12.654609,-18.617,-103.771,5.5,
phi02 Cnc B,126.695138,26.934351,-10.112,0.11,6.19,
F Vel,126.902441,-53.088479,-67.14,25.445,5.073,
28 Cnc,127.153272,24.144921,-30.946,-49.719,6.05,
29 Cnc,127.155581,14.210824,-13.849,-12.252,5.948,
33 Vel,127.2698,-47.928922,-6.9,7.12,5.33,
omi UMa,127.566125,60.718168,-133.644,-107.664,3.42,Muscida
ups01 Cnc,127.877164,24.081107,-80.791,-44.858,5.694,
tet Cnc,127.898875,18.094418,-59.639,-56.615,5.337,
34 Cnc,128.166127,10.066008,4.776,-6.041,6.474,
eta Cnc,128.177067,20.441162,-46.573,-44.296,5.325,
ups02 Cnc,128.250433,24.084794,-63.482,-46.082,6.34,
32 Lyn,128.340539,36.436432,-146.518,3.717,6.186,
2 UMa,128.650749,65.145113,-79.362,-65.977,5.453,
C Vel,128.681652,-49.944202,-13.919,18.036,5.01,
33 Lyn,128.682852,36.41962,-25.927,-40.692,5.751,
e01 Car,128.814813,-58.224739,-21.925,11.574,5.234,
35 Cnc,128.831025,19.590064,-34.554,-12.391,6.558,
e02 Car,128.832105,-58.009237,54.775,27.012,4.847,
3 Hya,128.867495,-7.982294,-21.24,15.334,5.72,
47 Vel,128.96678,-50.969647,-13.361,10.959,5.782,
c Cnc,129.274037,9.655578,-28.308,-3.883,5.91,
e Vel,129.41097,-42.98908,-10.75,9.66,4.14,
del Hya,129.414031,5.703787,-68.867,-7.551,4.131,
eta Pyx,129.467303,-26.255,-23.876,-12.407,5.27,
37 Cnc,129.521547,9.574611,-37.985,-10.36,6.531,
sig Hya,129.689322,3.341436,-19.48,-15.92,4.43,Minchir
tet Vol,129.771506,-70.386744,19.521,-39.238,5.2,
pi.01 UMa,129.798769,65.020906,-27.274,87.881,5.64,
zet Pyx,129.926975,-29.561084,-24.751,-91.427,4.872,
38 Cnc,129.927726,19.778454,-36.757,-12.929,6.66,
a Hya,130.006131,-12.475375,-81.269,2.03,4.969,
bet Pyx,130.025598,-35.308351,9.84,-20.8,3.954,
39 Cnc,130.026742,20.007787,-35.654,-12.019,6.39,
40 Cnc,130.047719,19.971134,-35.154,-13.463,6.61,
pi.02 UMa,130.053405,64.327936,-59.861,26.544,4.61,
omi Vel,130.073273,-52.921889,-24.42,34.44,3.63,
eps Cnc,130.112542,19.544812,-36.293,-12.133,6.29,Meleph
d Car,130.154281,-59.761002,-6.63,5.32,4.313,
b Vel,130.156542,-46.648743,-6.05,4.66,3.81,
42 Cnc,130.180022,19.719314,-35.946,-11.854,6.84,
34 Lyn,130.254458,45.834006,26.067,91.089,5.359,
n Vel,130.304704,-47.31713,-7.808,10.611,4.77,
eta Cha,130.331302,-78.963363,-29.43,26.831,5.453,
9 Hya,130.430567,-15.943385,3.416,-96.804,4.866,
9 Cha,130.800827,-79.070102,-27.263,28.179,6.07,
45 Cnc,130.801372,12.680874,-9.88,1.155,5.65,
eta Hya,130.806145,3.398663,-19.39,-1.08,4.3,
gam Cnc,130.821446,21.468499,-105.76,-39.157,4.652,Asellus Borealis
alf Pyx,130.898073,-33.186386,-14.27,10.43,3.68,
D Vel,130.917804,-49.822801,-2.816,4.137,5.16,
F Hya,130.918222,-7.233731,-11.62,-1.36,4.625,
d Vel,131.099779,-42.649277,-23.778,19.524,4.046,
del Cnc,131.171246,18.154308,-18.435,-227.813,3.94,Asellus Australis
b Cnc,131.187649,10.081669,-14.686,-18.466,5.66,
10 Hya,131.255339,5.680585,4.132,-4.2,6.127,
46 Cnc,131.339266,30.69775,-1.273,-4.845,6.119,
a Vel,131.50685,-46.041529,-12.82,4.23,3.91,
D Hya,131.593935,-13.547724,10.316,-15.012,4.32,
iot Cnc B,131.666583,28.765059,-24.397,-44.25,6.57,
iot Cnc,131.674252,28.759893,-22.07,-43.699,4.018,
f Car,131.677288,-56.769776,-9.29,8.85,4.49,
eps Hya,131.693801,6.418801,-228.11,-43.82,3.38,Ashlesha
50 Cnc,131.733412,12.109953,-63.575,-50.654,5.885,
rho Hya,132.108211,5.837812,-18.871,-29.454,4.337,
14 Hya,132.340524,-3.443025,-20.146,-22.776,5.31,
h Vel,132.413162,-40.320158,-9.293,-1.012,5.465,
g Vel,132.448492,-45.307874,-12.052,14.247,4.935,
